docid,c0search_terms,c1surah_no,c2ayah_no
104,"al humazah, al humazah, الهمزة, الهمزة, humajah, humeze, الهمزة",104,1
105,"الفيل",105,1
106,"قريش",106,1
107,"maun, al maun, الماعون, الماعون, maaun, almaun, মাউন, mauun, الماعون
",107,1
108,"kausar, kawsar, kauthar, kautsar, al kausar, الكوثر",108,1
109,"al kafirun, الكافرون
",109,1
110,"al nasr, al nasr, النصر, النصر, النصر",110,1
111,"al masad, al masad, المسد, المسد, massad, lahab, al lahab, al lahab, اللہب, اللہب, allahab, المسد",111,1
112,"al ikhlas, al ikhlas, الإخلاص, الإخلاص, ikhlas, ikhlas, ikhlass, ihlas, iklas, ikhloss, qul, qul hu, اﻹخلاص",112,1
113,"al falaq, al falaq, الفلق, الفلق, falak, falak, الفلق",113,1
114,"an naas, an nas, الناس, الناس, nas, naas, nass, al nas, an nas, الناس, الناس, الناس",114,1
115,"kursi, الكرسي, الكرسي, الكرسى, القرسی, ayatul kursi, ayat ul kursi, ayatul kursiy, aytal kursi, aytal kursi, ayatul, ayatul, aytal, আয়াতুল কুরসি, আয়াতুল কুরসি, আয়াতুল কুরসি, আয়াতুল কুরসি, اية الكرسي, ايه الكرسي, ayat al kursi, Ayatul kursi, Ayatul kursi, Ayatul kursi, aytal kursi, aytal, ayatul kursi, ayatul, aytul, ayatul, ayatul, aytul, aytal, ayatal, Ayat Al Kursi, Ayatul kursi, Ayatul kursi, Ayatul kursi, Ayatul, Ayat ul kursi, Ayat al kursi, ayat kursi, qursi",2,255
