id,famous_name,born_on,died_on,lived_in,nick_name
16944,"Ata'a bin Khlyfh","","","",""
16945,"'Alqama bin Sufyan","","","al-Ta'if",""
16946,"'Alqama Wald Naf'","","","",""
16947,"'Alqama bin al-Ghrq","","","",""
16948,"'Alqama bin Yazid Ktb Ilyh","","","",""
16949,"'Alqama bin Yazid","","","",""
16952,"'Isa bin Khthym al-Hnfy","","","",""
16953,"'Isa al-Quraishi","","","",""
16954,"'Isa al-Bzaz Mwla Hdhyfh bin al-Yman","","","",""
16955,"'Isa bin Musa bin Muhammad","","","",""
16956,"'Isa bin Yzdad bin Fsah","","","",""
16958,"'Imran bin Swad'h","","110 AH","",""
16959,"'Imran bin Nmran Abu Suliaman","","",Hims,"Abu Sulaiman(أبو سليمان)"
16960,"'Imran bin S'aid","","","",""
16961,"'Imran bin Wahb al-Tai'i","","","",""
16962,"'Imran bin Sry'","","","",""
16963,"'Imran bin Abi al-J'd","","","",""
16964,"'Imran bin Qays","","","",""
16965,"'Imran bin Hmyra al-J'fy","","","",""
16966,"'Uqba bin Mysrh","","","",""
16967,"'Uqba bin Abi al-Hasana'a al-Ymany","","",Yemen,""
16968,"'Uqba bin Jabbar","","","",""
16969,"'Uqba bin Rabi'yah","","","",""
16970,"'Uqba bin Zbyan","","","",""
16971,"'Uqba bin Naf' al-Fhry","","0 AH","",""
16972,"'Uqba bin Mysrh Abu Isma'il","","","","Abu Isma'il(أبو إسماعيل)"
16973,"'Uqba al-Rfa'y","","","",""
16974,"'Uqba bin Ma'bd","","","",""
16975,"Akrmh Mwla bin 'Abbas Yrwy","","","",""
16976,"Akrmh bin Y'la bin Umayya","","","",""
16977,"Akrmh bin Muhammad al-Du'ly","","","",""
16978,"Akrmh bin Hasan Shykh","","","",""
16979,"'Asim bin Lahq","","","",""
16980,"'Asim bin Bashr al-Slwly Adrk","","0 AH","",""
16981,"'Asim bin Rwbh","","","",""
16982,"'Asim bin Abi Ubaid","","","",""
16983,"'Asim al-Slmy","","","",""
16984,"'Asim bin Rzyn","","","",""
16986,"Amarh bin Rabi'yah al-Jrmy","","","",""
16987,"Amarh bin Qays Mwla bin al-Zubair","","","",""
16988,"Amarh al-Dary","","","",""
16989,"Amarh bin Ghzyh Shykh","","","",""
16990,"Amarh bin Harithh al-Dmry","","","",""
16991,"Amarh bin Yahya bin Arfth","","","",""
16993,"Amarh Shykh","","","",""
16994,"al-'Ala' bin Sufyan al-Hdrmy","","","",""
16995,"al-'Ala' bin Abi Aa'ishh al-Jzry","","","",""
16996,"al-'Ala' bin Araz al-Kharqa","","","",""
16997,"al-'Ala' bin S'hyl bin 'Amr","","","",""
16998,"al-'Ala' bin al-Mhlb al-Shybany","","","",""
16999,"al-'Ala' bin 'Umar Shykh","","","",""
17001,"Ishaq bin Qbys'h bin Dhu'yb","","",Syria,""
17002,"al-Aswad bin Tha'lbah al-Kndy","","",Syria,""
17003,"Awsat al-Bajli","","~79 AH","Medina,Syria","Abu 'Amr, Abu Isma'il"
17004,"Iyas bin Abi Rmlh","","",Syria,""
17005,"Ayoub bin Sulaiman","","",Syria,""
17007,"Bakr bin Zr'h al-Khwlany","","",Syria,""
17008,"Thabit bin Thwban al-Nsy","","",Syria,""
17009,"Thabit bin al-Samt","","",Syria,""
17010,"Tha'lbah bin Muslim al-Khth'my","","",Syria,""
17011,"al-Harith bin Ziyad","","",Syria,""
17012,"al-Harith bin 'Ubaidullah","","",Syria,""
17013,"Hbysh bin Shryh Abu Hafs'h","","","Abyssinia,Syria","Abu Hafs"
17015,Hryz,"","",Syria,"Abu Hryz"
17016,"Hassan bin 'Abdullah al-Damri","","",Syria,""
17017,"Hkym bin 'Umayr bin al-Ahws","","","al-Hims,Syria","Abu al-Ahws"
17018,"Hameed al-Shamy al-Hmsy","","","Syria,al-Hims",""
17019,"Hnan bin Kharjh al-Slmy al-Shamy","","",Syria,""
17020,"Khalid bin Zayd","","",Syria,"Abu 'Abdur Rahman"
17021,"Khyar bin Salmah, Abu Ziyad","","",Syria,"Abu Ziyad"
17022,"al-Zubair bin al-Walid al-Shamy","","",Syria,""
17023,"Zuhyr bin Salm al-Nsy","","",Syria,"Abu al-Mkharq"
17024,"Zayd bin Abi Atab","","",Syria,"Abu Atab"
17025,"al-Sry bin Yn'm","","",Syria,""
17026,"Sa'd/Sa'id bin 'Abdullah al-Aghtash","","",Syria,""
17027,"Sa'id bin Ghzwan","","",Syria,""
17028,"Salman bin Smyr","","",Syria,""
17029,"Salman Rjl","","",al-Syria,""
17030,"Slym bin 'Amir al-Shamy","","",Syria,"Abu 'Amir"
17031,"Salam bin Abi Salam","","","Abyssinia,Syria",""
17032,"Syf al-Shamy","","",Syria,""
17033,"Shubayb bin Na'im","","",Syria,"Abu Ruh"
17034,"Shdad bin Hy Abu","","",Syria,"Abu 'Abdullah"
17035,"Shrhbyl bin Shf'h","","",Syria,"Abu Yazid"
17036,"Shrhbyl bin Muslim bin Hamd","","",Syria,""
17037,"Abu Manzur al-Shami","","",Syria,"Abu Manzur"
17038,"Salah bin Yahya bin al-Mqdam","","",Syria,""
17040,"'Abdullah bin Aby","","",Syria,""
17041,"'Abdullah bin Abi Zakaria Alimam","","119 AH",Syria,"Abu Yahya"
17042,"'Abdullah bin Ma'anq al-Ash'ry","","",Syria,"Abu Ma'anq"
17043,"'Abdullah bin N'ym","","",Syria,""
17044,"'Abdur Rahman bin Slm","","",Syria,""
17045,"'Abdur Rahman bin Salman","","",Syria,"Abu al-A'ys"
17046,"'Abdur Rahman bin 'Amr bin 'Absa","","110 AH",Syria,""
17047,"Ata'a al-Shami","","",Syria,""
17049,"al-'Ala' bin Abi Hkym","","",Syria,""
17050,"al-'Ala' bin al-Ljlaj","","",Syria,""
17051,"Ghzwan al-Shamy","","",Syria,""
17052,"Fdyl bin Fdalh al-Hwzny","","",Syria,""
17053,"Qays bin Bashr bin Qays","","",Syria,""
17054,"Kathir bin Qays","","",Syria,""
17055,"Layth bin Abi Raqiyya","","",Syria,""
17056,"Muhammad bin Sa'd al-Ansari","","",Syria,""
17057,"Muhammad bin Sa'id bin Hasan","","","Syria,Damascus","Abu Qays"
17058,"Malik bin Abi Maryam","","",Syria,""
17059,"Malik bin Msrwh","","",Syria,""
17060,"Mt'm bin al-Mqdam bin Ghnym","","","Sana',Syria",""
17062,"Mghyth bin Smy al-Awza'y Abu","","",Syria,"Abu Ayoub"
17063,"Abu Hind al-Bajli Shami","","",Syria,"Abu Hind"
17064,"Mnyr bin al-Zubair al-Shamy Abu","","","Syria,Jordon","Abu Dhr"
17065,"Mhajr bin 'Amr al-Nbal","","",Syria,""
17066,"Muhajir bin Abi Muslim (Dinar)","","",Syria,""
17067,"Mahdi bin 'Abdur Rahman bin 'Ubaida","","",Syria,""
17068,"al-Mhlb bin Hjr","","",Syria,""
17069,"Natl Bmthnah bin","","before  66 AH","Syria,Nisa'",""
17070,"Nsy al-Kndy al-Shamy","","",Syria,""
17071,"Nsr bin 'Abdur Rahman","","",Syria,""
17072,"Na'im bin Ziyad al-Anmari, Abu Talha","","",Syria,"Abu Talha"
17073,"N'ym bin 'Abdullah","","",Syria,""
17074,"Nhar al-Bdy Shamy","","",Syria,""
17075,"Nhyk bin Yrym al-Awza'y Shamy","","",Syria,""
17077,"al-Hythm bin Malik al-Ta'iy","","",Syria,"Abu Muhammad"
17078,"Wasil bin Abi Jameel","","",Syria,"Abu Bakr"
17079,"Wqas bin Rabi'ya al-Nsy Abu","","",Syria,"Abu Rshdyn"
17080,"al-Walid bin Sufyan bin Aby","","",Syria,""
17082,"Yahya bin Rashid","","",Syria,""
17083,"Yahya bin Muslim Shamy","","",Syria,""
17084,"Yahya bin Yahya bin Qays","","133 AH","Medina,Syria","Abu 'Uthman"
17085,"Yazid bin Ayhm","","",Syria,"Abu Rwahh"
17086,"Yazid bin Ata'a al-Sksky","","",Syria,"Abu Ata'a"
17087,"Abu al-Ubaid al-Nsy","","88 AH",Syria,"Abu al-'Ubaid"
17088,"Abu al-Jaudi","","","Syria,Wasit","Abu al-Jaudi"
17089,"Abu Rashid al-Hbrany","","",Syria,"Abu Rashid"
17090,"Abu Ziyad al-Shami, al-Ghassani","","",Syria,"Abu Ziyad"
17091,"Abu Sa'id","","",Syria,"Abu Sa'id"
17092,"Abu Salah al-Ash'ry al-Shamy","","",Syria,"Abu Salah"
17093,"Abu Talwt al-Shamy","","",Syria,"Abu Talwt"
17094,"Abu 'Abdullah al-Ash'ry","","",Syria,"Abu 'Abdullah"
17095,"Abu 'Abdur Rahman","","",Syria,"Abu 'Abdur Rahman"
17096,"Abu 'Imran al-Ansari al-Shami","","",Syria,"Abu 'Imran"
17097,"Abu 'Awn al-Ansari","","",Syria,"Abu 'Awn"
17098,"Abu al-'Ala' al-Shamy La Y'rf","","",Syria,"Abu al-'Ala'"
17100,"Isma'il al-Bjly","","",al-Syria,""
17101,"Ayoub bin Mysrh bin Hlbs","","after  132 AH","Syria,Damascus,al-Syria",""
17104,"al-Azhar Abu al-Walid al-Hwzny Shamy","","",Syria,"Abu Al-Walid(أبو الوليد)"
17105,"Usamah bin Salman al-Nkh'y Adad'h","","",al-Syria,""
17106,"Asad bin Wda'h al-Shamy Knyt'h","","137 AH","Syria,al-Syria","Abu al-'Ala'(أبو العلاء)"
17108,"Bhyr bin Rysan","","",al-Syria,""
17109,"Tmym bin Aws al-Ash'ry","","0 AH",al-Syria,""
17112,"Thwban bin Shhr al-Ash'ry","","",al-Syria,""
17113,"Thmyl al-Ash'ry","","",al-Syria,""
17114,"Thwyb Abu Rshyd al-Shamy","","",Syria,"Abu Rshyd(أبو رشيد)"
17115,"Jrah bin 'Abdullah al-Hakamy","","","Yemen,al-Syria,Khurasan",""
17116,"Jnah al-Shamy Mwla al-Walid Whw","","","Syria,Syria",""
17117,"Jshyb al-Shamy Aryf al-Rfa'a","","",Syria,""
17118,"al-Hasan bin Ayoub","","","Syria,al-Syria",""
17119,"al-Harith bin Mkhmr Abu Habib","","",Syria,"Abu Habib(أبو حبيب)"
17120,"al-Harith bin 'Umayr al-Zbydy al-Shamy","","",Syria,""
17121,"al-Harith bin Mua'wiya al-Kndy Shamy","","",Syria,""
17122,"al-Harith bin Yhmd al-Ash'ry Adad'h","","",al-Syria,""
17123,"al-Hakam bin 'Umar","","",al-Syria,""
17124,"Hameed bin Rabi'yah al-Quraishi al-Shamy","","",Syria,""
17125,"Hameed bin 'Abdullah al-Mzny","","",al-Syria,""
17126,"Hafs bin 'Abdullah bin Aby","","",al-Syria,""
17127,"Hafs bin Jabir al-Rasby","","",Syria,""
17128,"Hafs bin Thabit al-Shamy","","",Syria,""
17129,"Hkym bin Dinar Abu Talha","","",Syria,"Abu Talha(أبو طلحة)"
17130,"Hyan Abu al-Nadr al-Asady","","",al-Syria,"Abu Al-Ndr(أبو النضر)"
17131,"Hatm bin Ada al-Hmsy","","","al-Hims,al-Syria",""
17132,"Hwshb bin Syf Abu Rwh","","",Syria,"Abu Rwh(أبو روح)"
17133,"Hryz al-Kndy al-Shamy","","",Syria,""
17134,"Khalid bin al-Walid al-Sksky Adrk","","",al-Syria,""
17136,"Khalid bin al-Ljlaj Abu Ibrahim","","",al-Syria,"Abu Ibrahim(أبو إبراهيم)"
17137,"Khlyd bin S'ad Mwla Aba","","",al-Syria,""
17138,"Abu Rashid al-Hbrany","","","al-Syria,al-Syria","Abu Rashid(أبو راشد)"
17139,"Khsylh bint Wathlh bin al-Asq'","","",al-Syria,""
17140,"Dinar bin Dinar al-Shamy","","",Syria,""
17141,"Dhw al-Kla' Abu Shrahyl bin Am","","",al-Syria,"Abu Shrahyl(أبو شراحيل)"
17142,"Rabi'yah bin 'Amr al-Jrshy","","0 AH","Syria,al-Syria",""
17143,"Rabi'yah bin al-Slt","","",al-Syria,""
17144,"Rashid bin Abi Sknh al-Shamy","","",Syria,""
17145,"Rwh bin Znba' al-Jdhamy","","","al-Syria,al-Syria",""
17146,"Ziyad bin Jariyya bin al-Tamimi","","","Damascus,al-Syria",""
17147,"Ziyad bin Syar Mwla Aba","","","al-Syria,al-Ramla",""
17148,"Zuhyr bin Mahan","","",Syria,""
17149,"Zfr bin al-Harith al-Klaby","","",al-Syria,""
17150,"Zr'h bin Thwb Wald Dmdm","","",al-Syria,""
17151,"Zryq bin Hyan al-Fzary Shamy","","","Syria,al-Syria",""
17152,"S'aid bin 'Abdullah al-Aghtsh","","","al-Syria,al-Syria",""
17153,"S'ad Abu Hashim al-Sanjari","","","Syria,Damascus","Abu Hashim(أبو هاشم)"
17154,"Suliaman bin Shrhbyl al-Jblany","","",al-Syria,"Abu Al-Qasim(أبو القاسم)"
17155,"Suliaman bin Salmah al-Ghsany","","",al-Syria,""
17156,"Suliaman bin 'Abdur Rahman Abu","","",al-Syria,"Abu 'Umarh(أبو عمرة)"
17157,"Suwayd bin Mth'bh al-Hnzly Qwlh","","0 AH",al-Syria,"Abu Hyan(أبو حيان)"
17158,"al-Sa'ib bin Mhjan al-Shamy","","",Syria,""
17160,"Slym Abu 'Amir al-Shamy","","","Syria,Damascus","Abu 'Amir(أبو عامر)"
17161,"Syar bin Rwh","","",al-Syria,""
17162,"Syar al-Shamy Mwla Khalid bin Yazid","","","Syria,Syria",""
17163,"Snan bin Abi Mnswr al-Lythy","","","Syria,al-Syria",""
17164,"Shdad bin al-Aflah al-Mqria","","","al-Syria,al-Syria",""
17165,"Shrhbyl bin Ma'shr al-Nsa","","",al-Syria,""
17166,"Shrhbyl bin Aymn","","",al-Syria,""
17167,"Abu al-Ash'th al-Sn'any Asmh Shrahyl","","0 AH","Sana',Sana',al-Syria,Sana',al-Syria","Abu al-Ash'ath(أبو الأشعث)"
17170,"'Abdullah bin Mkhrmh Abu","","","al-Syria,al-Syria","Abu Mkhrmh(أبو مخرمه)"
17171,"Abu Bhryh al-Kndy Asmh Abd","","",al-Syria,"Abu Bhryh(أبو بحريه)"
17172,"'Abdullah bin Ghalb al-Alhany","","",al-Syria,""
17174,"'Abdullah bin 'Amir Abu","","",al-Syria,"Abu 'Imran(أبو عمران)"
17175,"'Abdullah bin Aa'idh al-Thmaly","","","al-Syria,al-Syria",""
17177,"'Abdullah bin Qays al-Lkhmy","","124 AH","al-Syria,al-Syria",""
17178,"'Abdullah bin Sa'd'h al-Hdhla","","100 AH",al-Syria,"Abu Muhammad(أبو محمد)"
17180,"'Abdur Rahman bin al-Aswad al-Nsy","","",al-Syria,""
17181,"'Abdur Rahman bin Ada'a al-Kndy","","",al-Syria,""
17182,"'Abdur Rahman bin Suliaman Abu","","",al-Syria,"Abu Al-A'ys(أبو الأعيس)"
17183,"'Abdur Rahman Wald al-Qasim","","",Syria,""
17184,"'Abdur Rahman bin Ma'dan al-R'yny","","",al-Syria,""
17185,"'Abdur Rahman bin Abi Mas'ud","","",al-Syria,""
17186,"Abd al-A'la bin Hilal al-Slmy","","",al-Syria,"Abu Al-Ndr(أبو النضر)"
17188,"Abd al-Krym al-Bka'a Adad'h","","",al-Syria,""
17189,"'Abdul Samad bin 'Abdul 'Ala al-Salami","","",al-Syria,""
17190,"'Abdul Jabbar Abu 'Abd Rabb","","","Syria,Damascus","Abu Abd Rb(أبو عبد رب)"
17191,"'Ubaid'h bin Abi al-Mhajr Wald","","",al-Syria,""
17192,"'Ubaid'h bin al-Mlyky","","",al-Syria,""
17193,"''Aabadh bin Awfa al-Nmyry","","",Syria,""
17194,"'Umar bin 'Abdullah bin Sa'd","","",al-Syria,""
17195,"'Umar bin Khalid al-Wahuby","","",al-Syria,""
17196,"'Uthman bin Ajyl","","",al-Syria,""
17197,"Abu al-A'wr al-Slmy Asmh 'Amr","","",al-Syria,"Abu Al-A'wr(أبو الأعور)"
17198,"'Amr bin Ubaid al-'Abbasshmy","","",al-Syria,""
17200,"'Amr bin 'Abdullah bin Dhu'yb","","",al-Syria,""
17202,"'Amir bin Zayd al-Bkaly","","",al-Syria,""
17203,"'Amir bin Jshyb","","",al-Syria,""
17204,"'Amir bin Ldyn al-Ash'ry","","",al-Syria,""
17205,"Ata'a bin Yazid al-Sksky","","",al-Syria,""
17206,"Ata'a bin Hnyn Wqd Qyl","","",al-Syria,""
17207,"'Alqama bin Shhab al-Qshyry Wald","","",al-Syria,""
17208,"'Imran bin Bashr al-Hdrmy","","",al-Syria,""
17209,"'Imran bin Slym al-Kla'y Qada","","","Hims,Hims,al-Syria",""
17210,"'Uqba bin Zr'h al-Shybany","","",al-Syria,""
17211,"'Uqba bin Yrym","","",al-Syria,""
17212,"'Amarah bin Rashid bin Muslim/Kinana","","","al-Syria, Egypt",""
17214,"'Umayr bin al-Aswad al-Nsa","","",al-Syria,""
17215,"Atyh bin Rafa'y","","","al-Syria,al-Syria","Abu Hzan(أبو هزان)"
17216,"'Atiyya bin Basr","","",al-Syria,""
17217,"Abu Hzan al-Shamy Asmh Atyh","","","Syria,al-Syria","Abu Hzan(أبو هزان)"
17218,"Awf bin Hsyrh al-Shamy","","",Syria,""
17219,"Ghylan bin Ma'shr al-Mqria","","",al-Syria,""
17220,"Ghdyf bin al-Harith","","",al-Syria,""
17221,"Ghtyf bin 'Abdullah al-Shamy","","0 AH","Syria,Hamadan,al-Syria",""
17222,"Ghtyf Abu Abd al-Krym","","",al-Syria,"Abu Abd Al-Krym(أبو عبد الكريم"
17223,"al-Ghaz bin Rabi'yah al-Jrshy","","","al-Syria,al-Syria",""
17224,"Frat bin Th'albah al-Bhrany","","","al-Syria,al-Syria",""
17226,"Qz'h bin al-Aswad al-Hrshy Mwla","","",al-Syria,""
17227,"Klab bin Umayya Shamy","","",Syria,""
17228,"Kahayl bin Harmala al-Namiri","","","Hamadan,Syria,Damascus",""
17229,"Muhammad bin 'Abdur Rahman al-Quraishi","","",al-Syria,""
17230,"Muhammad bin al-Walid bin ''Aabadh","","",al-Syria,""
17231,"Malik bin Shrhbyl al-Shamy","","",Syria,""
17232,"Muslim bin Muslim Abu Abd","","","Damascus,al-Syria","Abu 'Abdullah(أبو عبد الله)"
17233,"Muslim Abu Akys Mwla Abd","","",al-Syria,"Abu Akys(أبو أكيس)"
17234,"Muslim al-Khwlany Abu Shrhbyl","","",al-Syria,"Abu Shrhbyl(أبو شرحبيل)"
17236,"Musa bin Mrh bin Mwhb","","",al-Syria,"Abu 'Abdur Rahman(أبو عبد الرح"
17237,"Mughira bin Hkym Abu al-Azhar","","",Syria,"Abu Al-Azhar(أبو الأزهر)"
17241,"Mahasir bin Habib al-Zubaidi","","128 AH",al-Syria,""
17242,"Mryh bin Msrwq al-Hwzny","","",al-Syria,"Abu al-Hasan(أبو الحسن)"
17243,"Mkrz Rjl","","",al-Syria,""
17244,"Mthr bin Hy al-Ky Adrk","","88 AH",al-Syria,""
17245,"al-N'uman bin Abi Shmr Abu","","","al-Syria,Damascus","Abu Salah(أبو صالح)"
17248,"Hbyrh bin 'Abdur Rahman al-Slmy","","",al-Syria,""
17250,"Yazid bin al-Aswad al-Jarshi","","",al-Syria,""
17251,"Yazid bin Frwh","","",al-Syria,""
17252,"Yazid bin Jabir al-Azdi","","",al-Syria,""
17253,"Yazid Mwla Thwban","","",Syria,""
17254,"Yazid bin Ghfylh Abu Kathir","","","al-Syria,al-Syria","Abu Kthyr(أبو كثير)"
17255,"Yazid bin Khalid al-Azdy al-Shamy","","",Syria,""
17256,"Yazid bin Mdhkwr al-Hmdany","","","Hamadan,al-Syria",""
17257,"Yazid bin Malik al-Jrshy","","",al-Syria,"Abu Al-Mnhal(أبو المنهال)"
17259,"Yusuf bin Syf al-Tyma","","120 AH",al-Syria,""
17261,"Abu al-Wam Sadn Bbyt al-Mqds","","",al-Syria,"Abu Al-Wam(أبو العوام)"
17262,"Abu Lqman al-Hdrmy","","130 AH","al-Syria,al-Syria","Abu Lqman(أبو لقمان)"
17263,"Abu 'Utba al-Kndy","","128 AH","al-Syria,al-Syria","Abu 'Utba(أبو عتبة)"
17264,"Abu Talha","","124 AH","al-Syria,al-Syria","Abu Talha(أبو طلحة)"
17265,"Abu Rashid al-Jbrana","","",al-Syria,"Abu Rashid(أبو راشد)"
17300,"al-'Ala' bin Safwan","","","",""
17301,"al-'Ala' bin Th'albah","","","",""
17302,"al-'Ala' al-Thqfa","","","",""
17303,"al-Ala' bin 'Ammar bin Yasar","","",Basra,""
17304,"'Utba bin Ibrahim bin 'Utba","","",Basra,""
17305,"'Utba bin S's'h al-Sa'dy bin Am","","","",""
17306,"'Utba bin Muslim","","","",""
17307,"'Utba al-Dwa","","","","Abu Isma'il(أبو إسماعيل)"
17308,"'Utba bin al-Mndhr al-Bady","","","",""
17309,"'Utba bin Ghzwan","","","","Abu Musa(أبو موسى)"
17310,"'Umayr bin Salmah al-Bakry","","","",""
17311,"'Umayr bin S'aid al-Dmry","","","",""
17312,"'Umayr al-Mhry Mwla 'Uthman bin Afan","","","",""
17313,"'Umayr","","","",""
17314,"'Umayr bin Habib Jd Aba","","","",""
17315,"'Umayr bin al-Ma'amwn al-Tyma","","","",""
17316,"'Umayr bin Jwdan","","","",""
17317,"'Umayr Mwla bina Yrbw'","","","",""
17319,"'Umayr Abu Salah","","","","Abu Salah(أبو صالح)"
17320,"'Umayr bin Rabi'yah","","","",""
17321,"'Umayr bin al-Fyd al-Lkhmy","","","",""
17322,"'Umayr Aw bin 'Umayr","","","",""
17323,"'Umayr Abu al-Mghls","","","","Abu Al-Mghls(أبو المغلس)"
17324,"'Umayr Mwla Aal Fdyd","","","",""
17325,"'Abbas bin 'Abdullah al-Jshmy","","","",""
17326,"'Abbas bin Naf' Akhw Abu","","","","Abu Mrhb(أبو مرحب)"
17327,"'Abbas bin Jmhan","","","",""
17328,"Atyh bin Aard","","","",""
17329,"Atyh bin 'Abdullah bin Anis","","","",""
17330,"Atyh bin al-Aswad Abu al-Aswad","","","","Abu al-'Aswad(أبو الأسود)"
17331,"'Atiya bin Abi 'Atiya","","",Kufa,""
17332,"Atyh Abu Abd al-Krym Mwla","","","","Abu Abd Al-Krym(أبو عبد الكريم"
17333,"'Atiyya bin S'ad al-Dua'a","","",Basra,""
17334,"Awn Abu Ma'mr al-Qyly","","","","Abu M'amr(أبو معمر)"
17335,"Awn bin 'Abdullah al-Azdy","","","",""
17336,"Awn al-S'hmy","","","",""
17337,"Ayad al-Ash'ry","","","",""
17338,"Ayad bin Dmry al-Klby bin Am","","","",""
17339,"Ayad bin Ndlh","","","",""
17340,"Ayad bin Msaf'","","","",""
17341,"Ayad bin Fras","","","",""
17342,"Ayad bin Yazid al-Klaby","","","",""
17343,"Amar bin S'ad al-Qrz al-Mu'dhn","","","",""
17344,"Amar al-Ghfary","","","",""
17345,"Amar al-Mzny","","","",""
17346,"Anbs'h Abu Rafa'y","","","","Abu Rafa'i(أبو رافع)"
17347,"Anbs'h bin Abi 'Amr","","","",""
17348,"Anbs'h bin Hkym al-Fzary","","","",""
17349,"Ada bin Abi Ada al-Kndy","","126 AH","",""
17350,Ada,"","","",""
17351,"Ayash bin 'Abdullah al-Jshmy","","","",""
17352,"Ayash al-Umary","","","",""
17353,"Ayash bin Mu'ns","","","",""
17354,"Aqyl bin al-Mughira","","","",""
17355,"Aqyl Mwla bin 'Abbas","","","",""
17356,"Aqyl bin Smyr","","","",""
17358,"Aqyl bin Hnzlh al-Mharby","","","",""
17359,"Aqyl bin 'Abdur Rahman al-Khwlany","","","",""
17360,"Aqyl bin Dinar Mwla Jaryh","","","",""
17361,"Atab al-Bakry","","","",""
17362,"Awf bin Abi Hdrd","","","",""
17363,"Awf bin Malik al-Jabira","","","",""
17364,"Awf al-Bkaly","","","",""
17365,"Aa'idh bin Nsyb al-Asady al-Kahla","","","",""
17366,"Aa'idh Abu Mua'dh","","","","Abu Mua'dh(أبو معاذ)"
17367,"Aa'idh bin Abi Db al-K'aby","","","",""
17368,"Aa'idh al-J'fy","","","",""
17369,"Ajlan Mwla al-Mshm'l Knyt'h Abu","","","","Abu Muhammad(أبو محمد)"
17370,"Ajlan Mwla L'aal Yazid bin al-Had","","","",""
17371,"Ajlan Abu Ghalb","","",Khurasan,"Abu Ghalb(أبو غالب)"
17372,"Ajlan bin Sahl al-Bahla","","","",""
17373,"Ajlan bin Sm'an","","","",""
17374,"Ajlan bin Salm","","","",""
17375,"Azrh bin al-Harith al-Shybany","","","",""
17376,"Azrh bin Qays al-Bjly","","","",""
17377,"'Umayrh bin Ziyad","","","",""
17378,"Afan bin S'aid","","","",""
17379,"Afan al-Azdy Shykh","","","",""
17380,"Alba'a Shykh","","","",""
17381,"Abayh bin Rdad al-Tyma","","","",""
17382,"'Auwasja al-Hashimi","","","",""
17383,"Atban bin 'Amr bin Iyas","","","",""
17385,"Aryf bin Sry'","","","",""
17386,"Afyf bin Ma'da Krb","","","",""
17387,"Atard Shykh","","","",""
17388,"Aqal al-Bjly","","","",""
17389,"Aqal bin S's'h bin Najyh","","","",""
17390,"'Alibh bin Hrmlh al-Nbry al-Tmymy","","","",""
17391,"Ayynh bin Ghsn Shykh","","","",""
17392,"Ads'h al-Ta'iy","","","",""
17393,"Asbh bin S'ad al-Blwa","","","",""
17394,"Abd'h bin Abi al-Mdrb","","",Alexandria,""
17395,"'Aleem","","","",""
17396,"Atyq Wald 'Abdur Rahman bin Atyq","","","",""
17397,"al-Jaj bin Ru'bh","","","",""
17398,"Akaz al-Tymy Yrwy An Ans","","","",""
17399,"'Umarh bint al-Shaf' Trwa An","","","",""
17400,"'Umarh Mwlah Hmnh bint Shja'","","","","Abu 'Asim(أبو عاصم)"
17401,"Aa'ishh bint Qdamh bin Mz'wn","","","",""
17402,"Azh bint Abi Qrsafh Wasmh","","","",""
17403,"Ghalb bin Ajrd al-Tyma","","","",""
17404,"Ghalb bin Suwayd al-Dmshqy","","",Damascus,""
17405,"Ghylan bin 'Abdullah Mwla","","","",""
17407,"Ghnam bin Qays","","","",""
17408,"Ghzwan bin 'Utba bin Ghzwan","","","",""
17409,"Ghzwan Abu Hatm","","","","Abu Hatm(أبو حاتم)"
17410,"Ghadra bin 'Urwa al-Faqaymi","","",Basra,""
17411,"Ghadrh al-Nbry","","","",""
17412,"Ghtfan Shykh","","","",""
17413,"Ghna bin Abi Hazm al-Dhhly","","","",""
17414,"Fdyl bin Kathir","","","",""
17415,"Fdyl Shykh","","","",""
17416,"al-Fadl bin 'Amr bin Umayya","","","",""
17417,"al-Fadl bin Talha","","","",""
17418,"al-Fadl bin 'Isa","","","",""
17419,"Fadala bin 'Ubaid/'Umayr al-Zahrani","","","",""
17420,"Fdalh bin Dinar al-Khza'y Knyt'h","","","","Abu Hrb(أبو حرب)"
17421,"Fadala bin Abi Umayya","","",Basra,""
17422,"Fdalh al-Tmymy","","","",""
17423,"Frqd Mwla Aws","","","",""
17424,"Frqd al-Khyat","","","",""
17425,"Fz' bin Afyq al-Mazny","","","",""
17426,"Frwkh Mwla 'Umar bin al-Khtab","","","",""
17427,"Frwkh Mwla al-Ashtr al-Nkh'y","","","",""
17428,"Frwkh Abu Anan","","","","Abu Anan(أبو عنان)"
17429,"Frys bin S's'h","","","",""
17430,Ftyr,"","","",""
17431,Fnk,"","",Yemen,""
17432,"Fnj Shykh","","","Sana'",""
17433,"Fkyhh bint Klab al-Mharbyh Trwa","","",Hamadan,""
17435,"al-Qasim bin 'Abdullah bin 'Amr","","","",""
17436,"al-Qasim bin al-Rabi'y","","","",""
17437,"al-Qasim bin Safwan bin Mkhrmh","","","",""
17438,"al-Qasim bin Ynkhsrh","","",Yemen,""
17439,"al-Qasim bin al-Brha","","","",""
17440,"al-Qasim bin Muhammad al-Thqfa","","","",""
17441,"al-Qasim bin 'Umayr","","","",""
17443,"al-Qasim bin al-Hakam","","","",""
17444,"al-Qasim bin Mkhwl al-Bhza al-Slmy","","","",""
17445,"al-Qasim bin Kathir","","","",""
