id,famous_name,born_on,died_on,lived_in,nick_name
185,"Awn ibn Ja'far","","~20 AH","Abyssinia, Medinah, Kufa",""
186,"Umm Kulthum bint 'Amr (Jarwal)","","",Makkah/Medina,""
187,"Umm Shareek","","",Medina,""
188,"Umm 'Ubays","","","Makkah, Medina",""
189,"'Uqba bin 'Amir al-Juhayni","","~58 AH/677 CE",Medina/Syria/Egypt,"Abu Asad, Abu 'Abs, Abu 'Amir"
190,"'Urwah ibn Mas'ud al-Thaqafi","","~9 AH",Makkah/Medina/Ta,"Abu Ya'fur"
191,"Ayman bin 'Ubiad","","8 AH/630 CE",Makkah/Medinah,""
192,"'Abdullah b. Zama'a","","63 AH/681 CE",Makkah/Medina,""
193,"Mulayl bin Wabara bin Khalid","","",Medinah,""
194,"Habiba bint Mulayl bin Wabara","","",Medinah,""
195,"Bushra bint Mulayl bin Wabara","","",Medinah,""
196,"'Atikah bint Zayd","","",Makkah/Medina,""
197,"Tulayb bin 'Umayr","","13 AH/634 CE",Makkah/Abyssinia/Medinah,"Abu 'Adi"
198,"Umm Hani bint Abi Talib","","41 AH/661 CE",Makkah/Medina,"Umm Hani"
199,"Jumanah bint Abi Talib","","",Makkah/Medina,""
200,"'Umayr bin Sa'd al-Ansari","","~50 AH or earlier",Medinah/Syria/Hims/Kufa,""
201,"Basbas bin 'Amr bin Tha'laba","","",Medinah,""
202,"Umm Ayman, Barakah","before 60 BH","11 AH or later",Makkah/Medina,"Umm Ayman"
203,"Habiba bint Kharijah ibn Zayd","","~30 AH (est.)",Medina,""
204,"'Abdullah ibn Hudhafah as-Sahmi","","~30 AH/650 CE",Makkah/Abyssinia/Medinah/Egypt,"Abu Hudhafah"
205,"Tufail ibn 'Abdullah","","","Sarat, Makkah, Madinah",""
206,"'Utbah ibn Ghazwan","","17 AH/638 CE",Makkah/Abyssinia/Medinah/Basrah,"Abu 'Abdullah, Abu Ghazwan"
207,"Mahabba bint ar-Rabi' ibn 'Amr","","",Medina,""
208,"Muhammad bin 'Abdur Rahman","","",Medinah,"Abu 'Atiq"
209,"Umm Haram bint Milhan","","~28 AH/ 648 CE",Medinah,"Umm Haram"
210,"Huzayla bint 'Utba ibn 'Amr","","",Medina,""
211,"Zayd ibn Kharija ibn Zayd","","~30 AH/650 CE",Medina,""
212,"'Adi ibn Hatim al-Tayyi'","","~68 AH",Medina/Kufa,"Abu Tarif"
213,"Ibn Umm Maktum","","14 AH/636 CE",Makkah/Medina/Iraq,""
214,"Jamila bint Sa'd ibn ar-Rabi'","3 AH/625 CE","",Medinah,"Umm Sa'd, Umm Kharija"
215,"'Amra bint Hazm ibn Zayd","","",Medina,""
216,"al-Harith ibn Nawfal ibn al-Harith","","~34 AH/655 CE",Makkah/Medina/Basra,""
217,"'Umayr bin Wahb","","~13-20 AH",Makkah/Medinah,"Abu Umayya"
218,"Yazid bin Abi Sufyan","","18 AH/639 CE",Makkah/Medinah/Syria/Palestine,"Abu Khalid, Yazid-ul-Khayr"
219,"Abu 'Umair bin Abi Talha","","",Medinah,""
220,"Umama bint As-Samit","","",Medinah,""
221,"Suhyal bin Bayda'","","9 AH",Makkah/Abyssinia/Medinah,"Abu Musa"
222,"Umm Khultum bint Suhayl","","",Makkah/Abyssinia/Medinah,""
223,"Abu Sibrah bin Abi Ruhm","","~30 AH/650 CE",Makkah/Abyssinia/Medinah,""
224,"Fatima bint Qays","","after 65 AH",Makkah/Medina/Kufah,""
225,"Ad-Dahhak bin Qays","","65 AH/685 CE",Makkah/Medina/Damascus/Kufa,"Abu Anis, Abu 'Abdur Rahman"
226,"Thabit bin As-Samit","","",Makkah/Medinah,""
227,"Abu Burzah al-Aslami","","~65 AH",Medina/Basra/Syria,""
228,"Khawla bint As-Samit","","",Makkah/Medinah,""
229,"Abu Talha Ansari","","34 AH",Medinah,"Abu Talha"
230,Addas,"","","Tai'f/Makkah/Medinah",""
231,"Arwa bint 'Abd al-Muttalib","","",Makkah/Medina,""
