id,para_id,surah_id,verse_id,name_id
573,29,74,56,29
574,4,3,118,30
575,10,8,72,30
576,5,4,140,30
577,6,5,57,30
578,7,6,68,30
579,2,2,196,27
580,7,5,89,27
581,2,2,187,27
582,7,5,95,27
583,5,4,92,27
584,2,2,185,27
585,2,2,184,27
586,22,33,35,27
587,16,19,26,27
588,28,58,4,27
589,2,2,183,27
590,2,2,236,31
591,28,58,13,31
592,19,27,35,31
593,19,27,36,31
594,20,29,27,31
595,22,33,49,31
596,17,21,90,31
597,25,42,49,31
598,12,11,108,31
599,19,25,74,31
600,4,4,4,31
601,16,19,49,31
602,3,2,280,31
603,16,19,5,31
604,13,14,39,31
605,30,78,36,31
606,23,38,43,31
607,23,38,35,31
608,23,38,30,31
609,12,11,99,31
610,20,29,27,31
611,23,38,39,31
612,16,19,19,31
613,19,26,83,31
614,27,57,20,32
615,10,9,24,32
616,5,4,29,32
617,5,4,30,32
618,20,28,76,32
619,5,4,32,32
620,10,9,34,32
621,14,16,90,32
622,10,9,55,32
623,21,33,28,32
624,16,20,131,32
625,28,63,9,32
626,14,15,88,32
627,10,9,85,32
628,9,8,27,32
629,19,25,67,32
630,15,17,27,32
631,29,71,12,32
632,28,64,15,32
633,30,92,11,32
634,30,111,2,32
635,30,100,8,32
636,30,89,20,32
637,29,71,22,32
638,29,68,14,32
639,17,22,27,33
640,17,22,28,33
641,17,22,29,33
642,17,22,30,33
643,17,22,31,33
644,17,22,32,33
645,17,22,33,33
646,17,22,34,33
647,17,22,35,33
648,17,22,36,33
649,2,2,189,33
650,2,2,203,33
651,4,3,97,33
652,2,2,196,33
653,2,2,197,33
654,2,2,198,33
655,2,2,199,33
656,2,2,158,33
657,7,5,94,33
658,7,5,95,33
659,7,5,96,33
660,2,2,200,33
661,6,5,1,33
662,6,5,2,33
663,6,5,4,34
664,6,5,5,34
665,5,4,24,34
666,2,2,187,34
667,7,5,87,34
668,7,5,88,34
669,22,33,50,34
670,6,5,1,34
671,28,60,10,34
672,4,3,93,34
673,9,7,157,34
674,14,16,116,34
675,22,33,52,34
676,7,5,96,34
677,3,3,50,34
678,28,66,1,34
679,11,10,59,34
