_id,city,time_zone,country,latitude,longitude,timezone_name
87,Baden-Baden,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,48.75,8.233333587646484,"W. Europe Standard Time"
88,Baghdad,"(GMT+03:00) Baghdad",Iraq,33.33333206176758,44.400001525878906,"Arabic Standard Time"
89,"Bahia Blanca","(GMT-03:00) Argentina",Argentina,-38.733333587646484,-62.266387939453125,"Argentina Standard Time"
90,"Bahia Kino","(GMT-07:00) Arizona",Mexico,28.822778701782227,-111.93638610839844,"US Mountain Standard Time"
91,Baku,"(GMT+04:00) Baku",Azerbaijan,40.366390228271484,49.900001525878906,"Baku Standard Time"
92,Balabag,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,11.966944694519043,121.92749786376953,"Singapore Standard Time"
93,Balanga,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,14.675000190734863,120.53861236572266,"Singapore Standard Time"
94,Balikpapan,"(GMT+08:00) Kuala Lumpur, Singapore",Indonesia,-1.263611078262329,116.82777404785156,"Singapore Standard Time"
95,Balti,"(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius",Moldova,47.758888244628906,27.925832748413086,"FLE Standard Time"
96,"Baltimore, MD","(GMT-05:00) Eastern Time (US & Canada)","United States",39.28305435180664,-76.61666870117188,"Eastern Standard Time"
97,Bamako,"(GMT) Greenwich Mean Time",Mali,12.649999618530273,-8.0,"Greenwich Standard Time"
98,"Bandar Seri Begawan","(GMT+08:00) Kuala Lumpur, Singapore",Brunei,4.933333396911621,114.94999694824219,"Singapore Standard Time"
99,Bandarban,"(GMT+06:00) Bangladesh",Bangladesh,22.19611167907715,92.21749877929688,"Bangladesh Standard Time"
100,Bandung,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Indonesia,-6.916666507720947,107.5999984741211,"SE Asia Standard Time"
101,"Banff, AB","(GMT-07:00) Mountain Time (US & Canada)",Canada,51.18083190917969,-115.56888580322266,"Mountain Standard Time"
102,Bangalore,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,12.966666221618652,77.56666564941406,"India Standard Time"
103,Bangkok,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Thailand,13.75,100.51669311523438,"SE Asia Standard Time"
104,Bangui,"(GMT+01:00) West Central Africa","Central African Republic",4.366666793823242,18.549999237060547,"W. Central Africa Standard Time"
105,"Banja Luka","(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Bosnia,44.766387939453125,17.183055877685547,"Central European Standard Time"
106,Banjul,"(GMT) Greenwich Mean Time",Gambia,13.449999809265137,-16.58333396911621,"Greenwich Standard Time"
107,Baotou,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,40.66666793823242,109.80000305175781,"China Standard Time"
108,Barcelona,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Spain,41.400001525878906,2.1666667461395264,"W. Europe Standard Time"
109,Barcelona,"(GMT-04:00) Venezuela",Venezuela,10.133055686950684,-64.71666717529297,"Venezuela Standard Time"
110,Bareilly,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,28.35333251953125,79.4094467163086,"India Standard Time"
111,Bari,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,41.1261100769043,16.86916732788086,"W. Europe Standard Time"
112,"Barrie, ON","(GMT-05:00) Eastern Time (US & Canada)",Canada,44.378055572509766,-79.70166778564453,"Eastern Standard Time"
113,Basse-Terre,"(GMT-04:00) La Paz",Guadeloupe,16.0,-61.71666717529297,"SA Western Standard Time"
114,Basseterre,"(GMT-04:00) La Paz","Saint Kitts and Nevis",17.299999237060547,-62.733333587646484,"SA Western Standard Time"
115,"Baton Rouge, LA","(GMT-06:00) Central Time (US & Canada)","United States",30.450000762939453,-91.1500015258789,"Central Standard Time"
116,Beijing,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,39.93333435058594,116.38333129882812,"China Standard Time"
117,Beirut,"(GMT+02:00) Beirut",Lebanon,33.866390228271484,35.516387939453125,"Lebanon Standard Time"
118,Beja,"(GMT) Dublin, Edinburgh, Lisbon, London",Portugal,38.016666412353516,-7.866666793823242,"GMT Standard Time"
119,Belfast,"(GMT) Dublin, Edinburgh, Lisbon, London","United Kingdom",54.58333206176758,-5.916666507720947,"GMT Standard Time"
120,Belgorod,"(GMT+03:00) Moscow, St. Petersburg, Volgograd",Russia,50.599998474121094,36.61666488647461,"Russian Standard Time"
121,Belgrade,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Serbia,44.81638717651367,20.46666717529297,"Central Europe Standard Time"
122,"Belize City","(GMT-06:00) Central America",Belize,17.497777938842773,-88.1866683959961,"Central America Standard Time"
123,"Bellevue, WA","(GMT-08:00) Pacific Time (US & Canada); Tijuana","United States",47.61055374145508,-122.19944763183594,"Pacific Standard Time"
124,Belmopan,"(GMT-06:00) Central America",Belize,17.266666412353516,-88.78333282470703,"Central America Standard Time"
125,"Belo Horizonte","(GMT-03:00) Brasilia",Brazil,-19.815834045410156,-43.954166412353516,"E. South America Standard Time"
126,Belogradchik,"(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius",Bulgaria,43.63206100463867,22.69515037536621,"FLE Standard Time"
127,Benevento,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,41.13055419921875,14.781110763549805,"W. Europe Standard Time"
128,Benxi,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,41.294166564941406,123.76638793945312,"China Standard Time"
129,Bergen,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,60.349998474121094,5.349999904632568,"W. Europe Standard Time"
130,Berlin,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,52.516666412353516,13.399999618530273,"W. Europe Standard Time"
131,Bern,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Switzerland,46.91666793823242,7.4666666984558105,"W. Europe Standard Time"
132,Beziers,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.34166717529297,3.217777729034424,"Romance Standard Time"
133,Bhopal,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,23.23555564880371,77.40972137451172,"India Standard Time"
134,Bhubaneswar,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,20.26361083984375,85.83528137207031,"India Standard Time"
135,Bilbao,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,43.25694274902344,-2.9236111640930176,"Romance Standard Time"
136,"Billings, MT","(GMT-07:00) Mountain Time (US & Canada)","United States",45.78277587890625,-108.50444793701172,"Mountain Standard Time"
137,Biratchowk,"(GMT+05:45) Kathmandu",Nepal,26.669166564941406,87.38111114501953,"Nepal Standard Time"
138,Birmingham,"(GMT) Dublin, Edinburgh, Lisbon, London","United Kingdom",52.5,-1.8666666746139526,"GMT Standard Time"
139,"Birmingham, AL","(GMT-06:00) Central Time (US & Canada)","United States",33.516666412353516,-86.80000305175781,"Central Standard Time"
140,Bishkek,"(GMT+06:00) Central Asia",Kyrgyzstan,42.86666488647461,74.58333587646484,"Central Asia Standard Time"
141,"Bismarck, ND","(GMT-06:00) Central Time (US & Canada)","United States",46.81638717651367,-100.7830581665039,"Central Standard Time"
142,Bissau,"(GMT) Greenwich Mean Time",Guinea-Bissau,11.866666793823242,-15.600000381469727,"Greenwich Standard Time"
143,Blanes,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,41.67416763305664,2.7919445037841797,"Romance Standard Time"
144,Blantyre,"(GMT+02:00) Harare, Pretoria",Malawi,-15.786110877990723,35.00583267211914,"South Africa Standard Time"
145,Blantyre-Hamilton,"(GMT) Dublin, Edinburgh, Lisbon, London","United Kingdom",55.78333282470703,-4.116666793823242,"GMT Standard Time"
146,Bloemfontein,"(GMT+02:00) Harare, Pretoria","South Africa",-29.11805534362793,26.223054885864258,"South Africa Standard Time"
147,Bodrum,"(GMT+02:00) Turkey",Turkey,37.04249954223633,27.434999465942383,"Turkey Standard Time"
148,Bogota,"(GMT-05:00) Bogota, Lima, Quito",Colombia,4.599999904632568,-74.08333587646484,"SA Pacific Standard Time"
