Ayat_ID,surat_ID,para_ID,only_aayat_no,mark
302,3,3,6,0
303,3,3,7,0
304,3,3,8,0
305,3,3,9,0
306,3,3,10,0
307,3,3,11,0
308,3,3,12,0
309,3,3,13,0
310,3,3,14,0
311,3,3,15,0
312,3,3,16,0
313,3,3,17,0
314,3,3,18,0
315,3,3,19,0
316,3,3,20,0
317,3,3,21,0
318,3,3,22,0
319,3,3,23,0
320,3,3,24,0
321,3,3,25,0
322,3,3,26,0
323,3,3,27,0
324,3,3,28,0
325,3,3,29,0
326,3,3,30,0
327,3,3,31,0
328,3,3,32,0
329,3,3,33,0
330,3,3,34,0
331,3,3,35,0
332,3,3,36,0
333,3,3,37,0
334,3,3,38,0
335,3,3,39,0
336,3,3,40,0
337,3,3,41,0
338,3,3,42,0
339,3,3,43,0
340,3,3,44,0
341,3,3,45,0
342,3,3,46,0
343,3,3,47,0
344,3,3,48,0
345,3,3,49,0
346,3,3,50,0
347,3,3,51,0
348,3,3,52,0
349,3,3,53,0
350,3,3,54,0
351,3,3,55,0
352,3,3,56,0
353,3,3,57,0
354,3,3,58,0
355,3,3,59,0
356,3,3,60,0
357,3,3,61,0
358,3,3,62,0
359,3,3,63,0
360,3,3,64,0
361,3,3,65,0
362,3,3,66,0
363,3,3,67,0
364,3,3,68,0
365,3,3,69,0
366,3,3,70,0
367,3,3,71,0
368,3,3,72,0
369,3,3,73,0
370,3,3,74,0
371,3,3,75,0
372,3,3,76,0
373,3,3,77,0
374,3,3,78,0
375,3,3,79,0
376,3,3,80,0
377,3,3,81,0
378,3,3,82,0
379,3,3,83,0
380,3,3,84,0
381,3,3,85,0
382,3,3,86,0
383,3,3,87,0
384,3,3,88,0
385,3,3,89,0
386,3,3,90,0
387,3,3,91,0
388,3,4,92,0
389,3,4,93,0
390,3,4,94,0
391,3,4,95,0
392,3,4,96,0
393,3,4,97,0
394,3,4,98,0
395,3,4,99,0
396,3,4,100,0
397,3,4,101,0
398,3,4,102,0
399,3,4,103,0
400,3,4,104,0
401,3,4,105,0
402,3,4,106,0
403,3,4,107,0
404,3,4,108,0
405,3,4,109,0
406,3,4,110,0
407,3,4,111,0
408,3,4,112,0
409,3,4,113,0
410,3,4,114,0
411,3,4,115,0
412,3,4,116,0
413,3,4,117,0
414,3,4,118,0
415,3,4,119,0
416,3,4,120,0
417,3,4,121,0
418,3,4,122,0
419,3,4,123,0
420,3,4,124,0
421,3,4,125,0
422,3,4,126,0
423,3,4,127,0
424,3,4,128,0
425,3,4,129,0
426,3,4,130,0
427,3,4,131,0
428,3,4,132,0
429,3,4,133,0
430,3,4,134,0
431,3,4,135,0
432,3,4,136,0
433,3,4,137,0
434,3,4,138,0
435,3,4,139,0
436,3,4,140,0
437,3,4,141,0
438,3,4,142,0
439,3,4,143,0
440,3,4,144,0
441,3,4,145,0
442,3,4,146,0
443,3,4,147,0
444,3,4,148,0
445,3,4,149,0
446,3,4,150,0
447,3,4,151,0
448,3,4,152,0
449,3,4,153,0
450,3,4,154,0
451,3,4,155,0
452,3,4,156,0
453,3,4,157,0
454,3,4,158,0
455,3,4,159,0
456,3,4,160,0
457,3,4,161,0
458,3,4,162,0
459,3,4,163,0
460,3,4,164,0
461,3,4,165,0
462,3,4,166,0
463,3,4,167,0
464,3,4,168,0
465,3,4,169,0
466,3,4,170,0
467,3,4,171,0
468,3,4,172,0
469,3,4,173,0
470,3,4,174,0
471,3,4,175,0
472,3,4,176,0
473,3,4,177,0
474,3,4,178,0
475,3,4,179,0
476,3,4,180,0
477,3,4,181,0
478,3,4,182,0
479,3,4,183,0
480,3,4,184,0
481,3,4,185,0
482,3,4,186,0
483,3,4,187,0
484,3,4,188,0
485,3,4,189,0
486,3,4,190,0
487,3,4,191,0
488,3,4,192,0
489,3,4,193,0
490,3,4,194,0
491,3,4,195,0
492,3,4,196,0
493,3,4,197,0
494,3,4,198,0
495,3,4,199,0
496,3,4,200,0
497,4,4,0,0
498,4,4,1,0
499,4,4,2,0
500,4,4,3,0
501,4,4,4,0
502,4,4,5,0
503,4,4,6,0
504,4,4,7,0
505,4,4,8,0
506,4,4,9,0
507,4,4,10,0
508,4,4,11,0
509,4,4,12,0
510,4,4,13,0
511,4,4,14,0
512,4,4,15,0
513,4,4,16,0
514,4,4,17,0
515,4,4,18,0
516,4,4,19,0
517,4,4,20,0
518,4,4,21,0
519,4,4,22,0
520,4,4,23,0
521,4,5,24,0
522,4,5,25,0
523,4,5,26,0
524,4,5,27,0
525,4,5,28,0
526,4,5,29,0
527,4,5,30,0
528,4,5,31,0
529,4,5,32,0
530,4,5,33,0
531,4,5,34,0
532,4,5,35,0
533,4,5,36,0
534,4,5,37,0
535,4,5,38,0
536,4,5,39,0
537,4,5,40,0
538,4,5,41,0
539,4,5,42,0
